date, pm25, pm10, o3, no2, so2, co
2023/8/1, 56, 19, 49, 12, 4, 3
2023/8/2, 64, 15, 38, 12, 4, 2
2023/8/3, 43, 13, 43, 11, 4, 2
2023/8/4, 38, 10, 36, 8, 4, 2
2023/8/5, 33, 12, 44, 9, 3, 3
2023/8/6, 48, 9, 26, 8, 2, 3
2023/8/7, 14, 8, 27, 9, 2, 2
2023/8/8, 7, 6, 17, 9, 2, 2
2023/8/9, 9, 4, 32, 11, 3, 3
2023/8/10, 11, 11, 25, 14, 2, 4
2023/8/11, 32, 12, 28, 14, 2, 4
2023/8/12, 39, 22, 56, 11, 2, 4
2023/8/13, 59, 33, 68, 13, 2, 5
2023/8/14, 79, 19, 39, 9, 2, 4
2023/8/15, 53, 16, 52, 12, 2, 4
2023/8/16, 33, 22, 66, 16, 2, 4
2023/8/17, 56, 34, 89, 16, 2, 5
2023/8/18, 75, 27, 77, 15, 3, 4
2023/8/19, 59, 24, 59, 10, 3, 4
2023/8/20, 62, 20, 33, 13, 3, 4
2023/8/21, 42, 15, 24, 12, 2, 4
2023/8/22, 45, 7, 28, 12, 2, 4
2023/8/23, 19, 5, 28, 9, 2, 4
2023/8/24, 9, 12, 44, 9, 4, 4
2023/8/25, 25, 29, 77, 10, 2, 6
2023/8/26, 74, 20, 36, 9, 2, 5
2023/8/27, 59, 11, 20, 9, 2, 4
2023/8/28, 31, 9, 19, 11, 2, 4
2023/8/29, 25, 13, 16, 19, 2, 6
2023/8/30, 44, 16, 40, 15, 2, 5
2023/8/31, 51, 18, 45, 12, 2, 5
2023/9/1, 49, 20, 44, 11, 2, 5
2023/9/2, 55, 12, 24, 9, 2, 5
2023/9/3, 44, 10, 23, 10, 2, 5
2023/9/4, 26, 11, 37, 12, 2, 5
2023/9/5, 24, 12, 25, 10, 2, 4
2023/9/6, 27, 13, 29, 10, 2, 4
2023/9/7, 34, 12, 36, 11, 2, 4
2023/9/8, 28, 18, 58, 11, 2, 5
2023/9/9, 53, 21, 72, 9, 2, 5
